loc: 384, nll: 0.02, ppl: 1.02
loc: 385, nll: 1.99, ppl: 7.33
loc: 386, nll: 3.44, ppl: 31.31
loc: 387, nll: 0.28, ppl: 1.32
loc: 388, nll: 1.46, ppl: 4.32
loc: 389, nll: 0.69, ppl: 1.99
loc: 390, nll: 1.27, ppl: 3.57
loc: 391, nll: 0.06, ppl: 1.06
loc: 392, nll: 0.04, ppl: 1.04
loc: 393, nll: 3.16, ppl: 23.66
loc: 394, nll: 8.81, ppl: 6723.65
loc: 395, nll: 3.91, ppl: 49.73
loc: 396, nll: 0.55, ppl: 1.74
loc: 397, nll: 2.41, ppl: 11.12
loc: 398, nll: 1.01, ppl: 2.75
loc: 399, nll: 4.25, ppl: 70.30
loc: 400, nll: 1.91, ppl: 6.76
loc: 401, nll: 0.70, ppl: 2.01
loc: 402, nll: 4.52, ppl: 91.61
loc: 403, nll: 0.26, ppl: 1.30
loc: 404, nll: 4.15, ppl: 63.63
loc: 405, nll: 0.53, ppl: 1.69
loc: 406, nll: 1.96, ppl: 7.12
loc: 407, nll: 4.90, ppl: 134.28
loc: 408, nll: 0.33, ppl: 1.39
loc: 409, nll: 6.46, ppl: 641.73
loc: 410, nll: 0.35, ppl: 1.42
loc: 411, nll: 0.03, ppl: 1.03
loc: 412, nll: 0.05, ppl: 1.05
loc: 413, nll: 0.00, ppl: 1.00
loc: 414, nll: 3.55, ppl: 34.72
loc: 415, nll: 0.25, ppl: 1.28
loc: 416, nll: 0.09, ppl: 1.09
loc: 417, nll: 1.70, ppl: 5.49
loc: 418, nll: 5.57, ppl: 263.17
loc: 419, nll: 0.94, ppl: 2.57
loc: 420, nll: 0.89, ppl: 2.44
loc: 421, nll: 0.01, ppl: 1.01
loc: 422, nll: 0.01, ppl: 1.01
loc: 423, nll: 0.05, ppl: 1.05
loc: 424, nll: 2.85, ppl: 17.36
loc: 425, nll: 1.76, ppl: 5.83
loc: 426, nll: 4.12, ppl: 61.37
loc: 427, nll: 1.46, ppl: 4.30
loc: 428, nll: 0.09, ppl: 1.09
loc: 429, nll: 0.03, ppl: 1.03
loc: 430, nll: 0.06, ppl: 1.06
loc: 431, nll: 1.76, ppl: 5.82
loc: 432, nll: 4.07, ppl: 58.61
loc: 433, nll: 2.25, ppl: 9.50
loc: 434, nll: 1.82, ppl: 6.18
loc: 435, nll: 0.01, ppl: 1.01
loc: 436, nll: 0.39, ppl: 1.48
loc: 437, nll: 3.60, ppl: 36.71
loc: 438, nll: 1.97, ppl: 7.19
loc: 439, nll: 0.20, ppl: 1.23
loc: 440, nll: 0.01, ppl: 1.01
loc: 441, nll: 0.00, ppl: 1.00
loc: 442, nll: 1.07, ppl: 2.92
loc: 443, nll: 0.03, ppl: 1.03
loc: 444, nll: 0.94, ppl: 2.57
loc: 445, nll: 0.19, ppl: 1.21
loc: 446, nll: 6.94, ppl: 1028.08
loc: 447, nll: 3.07, ppl: 21.55
loc: 448, nll: 2.54, ppl: 12.66
loc: 449, nll: 4.14, ppl: 62.90
loc: 450, nll: 1.86, ppl: 6.40
loc: 451, nll: 0.32, ppl: 1.38
loc: 452, nll: 1.87, ppl: 6.48
loc: 453, nll: 2.09, ppl: 8.04
loc: 454, nll: 1.19, ppl: 3.29
loc: 455, nll: 0.44, ppl: 1.55
loc: 456, nll: 1.70, ppl: 5.47
loc: 457, nll: 1.83, ppl: 6.26
loc: 458, nll: 3.16, ppl: 23.57
loc: 459, nll: 0.10, ppl: 1.11
loc: 460, nll: 1.55, ppl: 4.72
loc: 461, nll: 0.03, ppl: 1.03
loc: 462, nll: 1.87, ppl: 6.48
loc: 463, nll: 1.13, ppl: 3.11
loc: 464, nll: 0.94, ppl: 2.55
loc: 465, nll: 3.35, ppl: 28.43
loc: 466, nll: 0.21, ppl: 1.23
loc: 467, nll: 1.96, ppl: 7.07
loc: 468, nll: 0.10, ppl: 1.11
loc: 469, nll: 3.41, ppl: 30.20
loc: 470, nll: 1.74, ppl: 5.68
loc: 471, nll: 0.77, ppl: 2.17
loc: 472, nll: 1.45, ppl: 4.27
loc: 473, nll: 3.98, ppl: 53.74
loc: 474, nll: 0.06, ppl: 1.06
loc: 475, nll: 0.64, ppl: 1.89
loc: 476, nll: 2.42, ppl: 11.29
loc: 477, nll: 0.18, ppl: 1.20
loc: 478, nll: 3.93, ppl: 51.11
loc: 479, nll: 3.40, ppl: 29.86
loc: 480, nll: 3.73, ppl: 41.74
loc: 481, nll: 1.43, ppl: 4.16
loc: 482, nll: 0.22, ppl: 1.24
loc: 483, nll: 0.24, ppl: 1.27
loc: 484, nll: 0.00, ppl: 1.00
loc: 485, nll: 0.00, ppl: 1.00
loc: 486, nll: 0.59, ppl: 1.80
loc: 487, nll: 4.29, ppl: 73.27
loc: 488, nll: 6.26, ppl: 524.73
loc: 489, nll: 5.73, ppl: 308.81
loc: 490, nll: 9.20, ppl: 9920.02
loc: 491, nll: 5.46, ppl: 235.00
loc: 492, nll: 0.05, ppl: 1.05
loc: 493, nll: 7.30, ppl: 1477.83
loc: 494, nll: 3.16, ppl: 23.59
loc: 495, nll: 0.00, ppl: 1.00
loc: 496, nll: 1.06, ppl: 2.89
loc: 497, nll: 1.01, ppl: 2.75
loc: 498, nll: 2.96, ppl: 19.33
loc: 499, nll: 1.41, ppl: 4.10
loc: 500, nll: 4.34, ppl: 76.75
loc: 501, nll: 5.38, ppl: 217.33
loc: 502, nll: 1.07, ppl: 2.91
loc: 503, nll: 4.28, ppl: 72.16
loc: 504, nll: 2.55, ppl: 12.86
loc: 505, nll: 7.45, ppl: 1713.99
loc: 506, nll: 1.67, ppl: 5.30
loc: 507, nll: 0.51, ppl: 1.67
loc: 508, nll: 0.01, ppl: 1.01
loc: 509, nll: 1.89, ppl: 6.65
loc: 510, nll: 4.19, ppl: 66.01
loc: 511, nll: 0.04, ppl: 1.04
loc: 512, nll: 0.50, ppl: 1.65
loc: 513, nll: 5.98, ppl: 396.02
loc: 514, nll: 1.02, ppl: 2.78
loc: 515, nll: 0.01, ppl: 1.01
