loc: 334, nll: 0.89, ppl: 2.43
loc: 335, nll: 0.11, ppl: 1.12
loc: 336, nll: 2.52, ppl: 12.44
loc: 337, nll: 0.20, ppl: 1.23
loc: 338, nll: 0.16, ppl: 1.17
loc: 339, nll: 0.72, ppl: 2.06
loc: 340, nll: 2.97, ppl: 19.50
loc: 341, nll: 1.78, ppl: 5.93
loc: 342, nll: 0.08, ppl: 1.08
loc: 343, nll: 6.14, ppl: 464.75
loc: 344, nll: 0.11, ppl: 1.11
loc: 345, nll: 1.21, ppl: 3.34
loc: 346, nll: 0.24, ppl: 1.28
loc: 347, nll: 2.13, ppl: 8.40
loc: 348, nll: 0.61, ppl: 1.85
loc: 349, nll: 10.18, ppl: 26380.81
loc: 350, nll: 0.21, ppl: 1.23
loc: 351, nll: 6.35, ppl: 570.39
loc: 352, nll: 1.37, ppl: 3.95
loc: 353, nll: 3.30, ppl: 27.05
loc: 354, nll: 4.85, ppl: 127.94
loc: 355, nll: 3.65, ppl: 38.43
loc: 356, nll: 0.02, ppl: 1.02
loc: 357, nll: 0.00, ppl: 1.00
loc: 358, nll: 0.31, ppl: 1.36
loc: 359, nll: 2.33, ppl: 10.27
loc: 360, nll: 2.54, ppl: 12.71
loc: 361, nll: 0.18, ppl: 1.20
loc: 362, nll: 6.10, ppl: 444.18
loc: 363, nll: 3.52, ppl: 33.80
loc: 364, nll: 7.45, ppl: 1723.79
loc: 365, nll: 2.98, ppl: 19.61
loc: 366, nll: 0.17, ppl: 1.19
loc: 367, nll: 0.02, ppl: 1.02
loc: 368, nll: 1.71, ppl: 5.51
loc: 369, nll: 2.36, ppl: 10.61
loc: 370, nll: 0.39, ppl: 1.47
loc: 371, nll: 1.29, ppl: 3.65
loc: 372, nll: 3.39, ppl: 29.80
loc: 373, nll: 2.77, ppl: 15.90
loc: 374, nll: 0.66, ppl: 1.93
loc: 375, nll: 0.54, ppl: 1.71
loc: 376, nll: 5.48, ppl: 240.69
loc: 377, nll: 1.37, ppl: 3.95
loc: 378, nll: 0.34, ppl: 1.41
loc: 379, nll: 1.43, ppl: 4.19
loc: 380, nll: 1.20, ppl: 3.30
loc: 381, nll: 2.20, ppl: 9.05
loc: 382, nll: 0.22, ppl: 1.25
loc: 383, nll: 0.47, ppl: 1.59
loc: 384, nll: 0.02, ppl: 1.02
loc: 385, nll: 1.99, ppl: 7.34
loc: 386, nll: 3.45, ppl: 31.56
loc: 387, nll: 0.28, ppl: 1.32
loc: 388, nll: 1.46, ppl: 4.32
loc: 389, nll: 0.69, ppl: 1.99
loc: 390, nll: 1.27, ppl: 3.55
loc: 391, nll: 0.06, ppl: 1.06
loc: 392, nll: 0.04, ppl: 1.04
loc: 393, nll: 3.16, ppl: 23.54
loc: 394, nll: 8.80, ppl: 6666.26
loc: 395, nll: 3.90, ppl: 49.22
loc: 396, nll: 0.56, ppl: 1.75
loc: 397, nll: 2.41, ppl: 11.13
loc: 398, nll: 1.01, ppl: 2.75
loc: 399, nll: 4.25, ppl: 70.10
loc: 400, nll: 1.91, ppl: 6.75
loc: 401, nll: 0.69, ppl: 2.00
loc: 402, nll: 4.52, ppl: 91.48
loc: 403, nll: 0.26, ppl: 1.30
loc: 404, nll: 4.16, ppl: 63.81
loc: 405, nll: 0.53, ppl: 1.69
loc: 406, nll: 1.96, ppl: 7.12
loc: 407, nll: 4.90, ppl: 134.36
loc: 408, nll: 0.33, ppl: 1.39
loc: 409, nll: 6.47, ppl: 645.37
loc: 410, nll: 0.35, ppl: 1.42
loc: 411, nll: 0.03, ppl: 1.03
loc: 412, nll: 0.05, ppl: 1.05
loc: 413, nll: 0.00, ppl: 1.00
loc: 414, nll: 3.55, ppl: 34.67
loc: 415, nll: 0.25, ppl: 1.28
loc: 416, nll: 0.09, ppl: 1.09
loc: 417, nll: 1.72, ppl: 5.56
loc: 418, nll: 5.57, ppl: 263.61
loc: 419, nll: 0.94, ppl: 2.57
loc: 420, nll: 0.89, ppl: 2.44
loc: 421, nll: 0.01, ppl: 1.01
loc: 422, nll: 0.01, ppl: 1.01
loc: 423, nll: 0.05, ppl: 1.05
loc: 424, nll: 2.85, ppl: 17.37
loc: 425, nll: 1.76, ppl: 5.83
loc: 426, nll: 4.12, ppl: 61.39
loc: 427, nll: 1.45, ppl: 4.28
loc: 428, nll: 0.09, ppl: 1.09
loc: 429, nll: 0.03, ppl: 1.03
loc: 430, nll: 0.06, ppl: 1.06
loc: 431, nll: 1.77, ppl: 5.87
loc: 432, nll: 4.06, ppl: 58.22
loc: 433, nll: 2.26, ppl: 9.57
loc: 434, nll: 1.83, ppl: 6.22
loc: 435, nll: 0.01, ppl: 1.01
loc: 436, nll: 0.39, ppl: 1.48
loc: 437, nll: 3.59, ppl: 36.17
loc: 438, nll: 1.97, ppl: 7.19
loc: 439, nll: 0.20, ppl: 1.22
loc: 440, nll: 0.01, ppl: 1.01
loc: 441, nll: 0.00, ppl: 1.00
loc: 442, nll: 1.07, ppl: 2.91
loc: 443, nll: 0.03, ppl: 1.03
loc: 444, nll: 0.94, ppl: 2.56
loc: 445, nll: 0.19, ppl: 1.21
loc: 446, nll: 6.94, ppl: 1028.70
loc: 447, nll: 3.07, ppl: 21.60
loc: 448, nll: 2.53, ppl: 12.59
loc: 449, nll: 4.14, ppl: 63.00
loc: 450, nll: 1.86, ppl: 6.40
loc: 451, nll: 0.32, ppl: 1.38
loc: 452, nll: 1.87, ppl: 6.46
loc: 453, nll: 2.08, ppl: 7.99
loc: 454, nll: 1.19, ppl: 3.30
loc: 455, nll: 0.44, ppl: 1.55
loc: 456, nll: 1.69, ppl: 5.44
loc: 457, nll: 1.83, ppl: 6.26
loc: 458, nll: 3.15, ppl: 23.32
loc: 459, nll: 0.10, ppl: 1.11
loc: 460, nll: 1.54, ppl: 4.66
loc: 461, nll: 0.03, ppl: 1.03
loc: 462, nll: 1.87, ppl: 6.48
loc: 463, nll: 1.14, ppl: 3.13
loc: 464, nll: 0.94, ppl: 2.57
loc: 465, nll: 3.35, ppl: 28.43
loc: 466, nll: 0.20, ppl: 1.22
loc: 467, nll: 1.96, ppl: 7.07
loc: 468, nll: 0.10, ppl: 1.11
loc: 469, nll: 3.40, ppl: 30.02
loc: 470, nll: 1.74, ppl: 5.68
loc: 471, nll: 0.78, ppl: 2.19
